price,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
4700,Betonarme,130,160,3+1,11-20,3,3,Other,0,0,2,1,Hayır,Boş,Bakırköy
1400,Betonarme,90,100,2+1,11-20,1,4,Kombi Doğalgaz,50,1400,1,1,Hayır,Boş,Ataşehir
5000,Betonarme,60,83,1+1,1-4,30,30,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Şişli
3500,Betonarme,38,50,Stüdyo,1-4,12,30,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Şişli
2600,Betonarme,54,77,1+1,0 (Yeni),5,5,Merkezi (Pay Ölçer),445,5200,1,1,Hayır,Boş,Çekmeköy
1400,Betonarme,110,125,2+1,11-20,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Pendik
1300,Betonarme,80,90,2+1,11-20,1,4,Kombi Doğalgaz,0,1300,1,1,Hayır,Boş,Ümraniye
900,Betonarme,120,125,3+1,11-20,2,4,Kombi Doğalgaz,15,1000,1,2,Hayır,Boş,Pendik
4500,Betonarme,75,85,1+1,5-10,4,7,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Eşyalı,Şişli
5000,Betonarme,165,180,3+1,20 Ve Üzeri,2,5,Kombi Doğalgaz,35,20000,2,2,Hayır,Eşyalı,Sarıyer
1700,Betonarme,70,75,1+1,20 Ve Üzeri,3,3,Kombi Doğalgaz,30,1700,1,1,Hayır,Boş,Fatih
1350,Betonarme,69,79,2+1,1-4,1,4,Kombi Doğalgaz,0,1350,1,1,Hayır,Boş,Ataşehir
2500,Betonarme,85,95,2+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,30,0,1,1,Hayır,Eşyalı,Bahçelievler
2700,Betonarme,150,160,4+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,25,2700,2,2,Hayır,Boş,Üsküdar
5000,Betonarme,70,80,2+1,20 Ve Üzeri,0,5,Merkezi Doğalgaz,0,5000,1,2,Hayır,Boş,Beşiktaş
1500,Betonarme,8,35,Stüdyo,20 Ve Üzeri,1,3,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Kadıköy
1300,Betonarme,100,115,2+1,0 (Yeni),1,5,Kombi Doğalgaz,210,1300,2,1,Evet,Boş,Esenyurt
1500,Betonarme,75,85,1+1,0 (Yeni),4,13,Kombi Doğalgaz,0,1500,1,1,Evet,Boş,Esenyurt
1800,Betonarme,110,125,3+1,20 Ve Üzeri,0,5,Kombi Doğalgaz,20,3600,1,1,Hayır,Eşyalı,Bahçelievler
1850,Betonarme,65,70,1+1,20 Ve Üzeri,3,4,Kombi Doğalgaz,0,1850,1,1,Hayır,Boş,Kadıköy
450,Betonarme,150,150,3+1,11-20,2,5,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Bahçelievler
1500,Betonarme,59,77,1+1,5-10,2,9,Kombi Doğalgaz,540,3200,1,1,Evet,Eşyalı,Pendik
1500,Betonarme,59,77,1+1,5-10,2,9,Kombi Doğalgaz,540,3200,1,1,Evet,Eşyalı,Pendik
3300,Betonarme,160,170,Other,1-4,3,3,Kombi Doğalgaz,0,0,2,1,Hayır,Boş,Avcılar
1300,Betonarme,110,120,3+1,11-20,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Avcılar
2100,Betonarme,65,76,1+1,1-4,9,23,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Başakşehir
2600,Betonarme,70,90,1+1,1-4,3,18,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Eşyalı,Bağcılar
1700,Betonarme,32,45,Stüdyo,1-4,5,5,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Eşyalı,Ataşehir
1600,Betonarme,85,90,2+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,30,1600,1,1,Hayır,Boş,Küçükçekmece
1750,Betonarme,90,95,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,30,1750,1,1,Hayır,Boş,Küçükçekmece
1950,Betonarme,80,90,2+1,20 Ve Üzeri,1,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Üsküdar
5500,Betonarme,70,85,1+1,20 Ve Üzeri,3,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Şişli
2550,Betonarme,75,90,2+1,1-4,1,5,Merkezi Doğalgaz,250,5000,1,1,Evet,Eşyalı,Beylikdüzü
2200,Betonarme,70,85,1+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Fatih
2400,Betonarme,70,80,2+1,1-4,0,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Kağıthane
1550,Betonarme,75,85,2+1,1-4,2,9,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Pendik
1500,Betonarme,80,85,2+1,20 Ve Üzeri,4,5,Kombi Doğalgaz,30,1500,1,2,Hayır,Boş,Bahçelievler
1750,Betonarme,70,80,2+1,20 Ve Üzeri,3,3,Kombi Doğalgaz,25,1750,1,1,Hayır,Boş,Üsküdar
4299,Betonarme,120,140,3+1,20 Ve Üzeri,3,5,Merkezi Doğalgaz,300,4299,2,2,Hayır,Boş,Üsküdar
2000,Betonarme,110,120,2+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Bahçelievler
3000,Betonarme,125,140,3+1,5-10,0,4,Kombi Doğalgaz,0,0,1,2,Hayır,Boş,Eyüpsultan
2200,Betonarme,110,130,3+1,11-20,1,9,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Ümraniye
1350,Betonarme,78,95,2+1,5-10,3,5,Merkezi (Pay Ölçer),390,1350,2,2,Evet,Boş,Sultanbeyli
1350,Betonarme,78,95,2+1,5-10,3,5,Merkezi (Pay Ölçer),390,1350,2,2,Evet,Boş,Sultanbeyli
1000,Betonarme,48,56,1+1,5-10,2,5,Merkezi (Pay Ölçer),310,1000,1,1,Evet,Boş,Sultanbeyli
3000,Betonarme,140,160,Other,1-4,10,10,Merkezi (Pay Ölçer),100,3000,2,2,Hayır,Boş,Kartal
