price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"1,100TL",23 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,100 m2,2+1,11-20,Yüksek Giriş,2,Kombi Doğalgaz,Belirtilmemiş,1.100 TL,1,1,Hayır,Boş,Kartal
"1,050TL",23 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,120 m2,3+1,5-10,Bahçe Katı,5,Kombi Doğalgaz,50 TL,1.050 TL,1,1,Hayır,Boş,Kartal
"3,600TL",23 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,160 m2,3+1,5-10,3. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Evet,Eşyalı,Sancaktepe
"5,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,110 m2,2+1,20 Ve Üzeri,1. Kat,3,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beşiktaş
"5,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,80 m2,2+1,20 Ve Üzeri,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beyoğlu
"13,200TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,140 m2,152 m2,4+1,1,8. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kağıthane
"2,800TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,57 m2,1+1,0 (Yeni),10. Kat,11,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"1,100TL",22 Şubat 2021,Konut,Kiralık,Betonarme,40 m2,60 m2,1+1,11-20,Yüksek Giriş,2,Kombi Doğalgaz,Belirtilmemiş,1.100 TL,1,1,Hayır,Boş,Kartal
"6,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,85 m2,2+1,3,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
800TL,23 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,80 m2,2+1,20 Ve Üzeri,Yüksek Giriş,3,Kombi Doğalgaz,Belirtilmemiş,800 TL,1,1,Hayır,Boş,Kartal
"1,500TL",23 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,150 m2,3+1,11-20,3. Kat,10,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,1,Hayır,Boş,Kartal
"3,250TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,60 m2,1+1,11-20,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"3,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,58 m2,70 m2,1+1,4,12. Kat,17,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane Kiralık Residenc
"3,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,85 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli
750TL,22 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,75 m2,2+1,20 Ve Üzeri,Yarı Bodrum,5,Doğalgaz Sobalı,100 TL,750 TL,1,1,Hayır,Boş,Kartal
"1,700TL",23 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,115 m2,2+1,20 Ve Üzeri,4. Kat,6,Kombi Doğalgaz,Belirtilmemiş,1.700 TL,1,1,Hayır,Boş,Bayrampaşa
"3,200TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,4,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"16,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,175 m2,2+1,11-20,18. Kat,27,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beşiktaş Kiralık Residenc
"2,950TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,30 m2,40 m2,1+1,1,5. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"4,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,45 m2,56 m2,1+1,20 Ve Üzeri,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beyoğlu
"2,400TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,90 m2,2+1,4,9. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane Kiralık Residenc
"3,400TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,95 m2,2+1,11-20,Düz Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli
"2,700TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,61 m2,71 m2,2+1,4,6. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane Kiralık Residenc
"2,950TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,30 m2,45 m2,Stüdyo,0 (Yeni),5. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"5,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,125 m2,2+1,11-20,4. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Şişli
"1,100TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,2+1,11-20,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
850TL,23 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,75 m2,1+1,20 Ve Üzeri,Düz Giriş,4,Sobalı,Belirtilmemiş,1.000 TL,1,Yok,Hayır,Belirtilmemiş,Maltepe
"7,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,1+1,0 (Yeni),Kot 2,5,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer
"3,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,55 m2,1+1,0 (Yeni),1. Kat,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beşiktaş
"3,100TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,45 m2,70 m2,1+1,0 (Yeni),3. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane Kiralık Residenc
"1,750TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Beyoğlu
"8,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,130 m2,140 m2,3+1,11-20,2. Kat,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Sarıyer
"4,250TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,200TL",23 Şubat 2021,Konut,Kiralık,Betonarme,40 m2,70 m2,2+1,11-20,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,1.200 TL,1,1,Hayır,Boş,Kartal
"3,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,125 m2,3+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beşiktaş
"10,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,125 m2,145 m2,2+1,5-10,5. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Sarıyer
"4,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,95 m2,1+1,11-20,3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"15,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,155 m2,200 m2,3+1,4,Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık V
"2,200TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,3+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Kağıthane
"10,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,280 m2,300 m2,6+2,11-20,5. Kat,5,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer
"2,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,130 m2,3+1,11-20,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"3,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,0 (Yeni),2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer
"4,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,120 m2,2+1,4,5. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa Kiralık Residenc
"4,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,120 m2,2+1,4,7. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"6,000TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,118 m2,1+1,4,1. Kat,24,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Gaziosmanpaşa
"3,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,47 m2,92 m2,1+1,4,7. Kat,28,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"3,200TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,144 m2,3+1,3,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Pendik
"4,100TL",22 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,100 m2,1+1,20 Ve Üzeri,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Eşyalı,Beşiktaş
"7,500TL",22 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,145 m2,3+1,11-20,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,7.500 TL,2,2,Hayır,Eşyalı,Sarıyer
"1,050TL",22 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,110 m2,3+1,11-20,Düz Giriş,2,Kombi Doğalgaz,40 TL,1.050 TL,1,1,Hayır,Boş,Kartal
"2,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,120 m2,3+1,5-10,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,1,Hayır,Boş,Kartal
"55,000TL",22 Şubat 2021,Konut,Kiralık,Betonarme,490 m2,650 m2,5+1,20 Ve Üzeri,Villa Tipi,2,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Boş,Beykoz Kiralık V
"3,150TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,90 m2,2+1,0 (Yeni),1. Kat,5,Kombi Doğalgaz,550 TL,6.300 TL,1,Belirtilmemiş,Evet,Belirtilmemiş,Çekmeköy
"2,550TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,90 m2,2+1,4,1. Kat,5,Merkezi Doğalgaz,250 TL,5.000 TL,1,1,Evet,Eşyalı,Beylikdüzü
"3,750TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,105 m2,115 m2,3+1,20 Ve Üzeri,6. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Maltepe
"9,000TL",21 Şubat 2021,Konut,Kiralık,Çelik,130 m2,186 m2,3+1,3,13. Kat,40,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"5,500TL",21 Şubat 2021,Konut,Kiralık,Çelik,65 m2,82 m2,1+1,5-10,10. Kat,32,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"5,400TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,9. Kat,15,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,7. Kat,15,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,70 m2,85 m2,1+1,5-10,5. Kat,11,Kombi Doğalgaz,450 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer
"4,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,18. Kat,30,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"9,750TL",21 Şubat 2021,Konut,Kiralık,Çelik,130 m2,170 m2,3+1,5-10,11. Kat,33,Merkezi (Pay Ölçer),1.100 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,500TL",21 Şubat 2021,Konut,Kiralık,Çelik,65 m2,87 m2,1+1,5-10,5. Kat,20,Merkezi (Pay Ölçer),550 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"11,000TL",21 Şubat 2021,Konut,Kiralık,Çelik,110 m2,155 m2,2+1,4,8. Kat,42,Merkezi (Pay Ölçer),690 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer
"11,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,160 m2,170 m2,3+1,5-10,20. Kat,30,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer
"7,250TL",21 Şubat 2021,Konut,Kiralık,Çelik,125 m2,165 m2,2+1,3,4. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"4,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,16. Kat,30,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,500TL",21 Şubat 2021,Konut,Kiralık,Çelik,55 m2,84 m2,1+1,5-10,6. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"18,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,210 m2,250 m2,4+1,5-10,12. Kat,40,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"18,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,200 m2,250 m2,4+1,5-10,12. Kat,40,Merkezi (Pay Ölçer),1.100 TL,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"4,600TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,8. Kat,30,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,110 m2,2+1,5-10,7. Kat,33,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"5,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,50 m2,60 m2,1+1,4,7. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"13,000TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,225 m2,265 m2,4+1,4,20. Kat,32,Merkezi Doğalgaz,1.500 TL,Belirtilmemiş,3,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"2,300TL",21 Şubat 2021,Konut,Kiralık,Betonarme,35 m2,45 m2,Stüdyo,0 (Yeni),9. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sarıyer
"10,900TL",21 Şubat 2021,Konut,Kiralık,Betonarme,136 m2,146 m2,2+1,5-10,10. Kat,15,Merkezi (Pay Ölçer),800 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer
"11,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,170 m2,3+1,5-10,11. Kat,33,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık Residenc
"9,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,166 m2,186 m2,3+1,5-10,14. Kat,40,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"3,750TL",21 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,1+1,0 (Yeni),3. Kat,5,Merkezi Doğalgaz,400 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"2,300TL",21 Şubat 2021,Konut,Kiralık,Betonarme,35 m2,45 m2,Stüdyo,0 (Yeni),6. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"2,100TL",21 Şubat 2021,Konut,Kiralık,Betonarme,45 m2,55 m2,Stüdyo,0 (Yeni),9. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,167 m2,2+1,4,8. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"3,600TL",21 Şubat 2021,Konut,Kiralık,Betonarme,47 m2,60 m2,Stüdyo,4,8. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"9,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,165 m2,186 m2,3+1,5-10,14. Kat,15,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"6,500TL",21 Şubat 2021,Konut,Kiralık,Çelik,101 m2,125 m2,2+1,0 (Yeni),6. Kat,20,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"2,250TL",21 Şubat 2021,Konut,Kiralık,Çelik,30 m2,45 m2,Stüdyo,0 (Yeni),3. Kat,12,Merkezi (Pay Ölçer),390 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"8,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,176 m2,186 m2,3+1,5-10,12. Kat,15,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,250TL",21 Şubat 2021,Konut,Kiralık,Betonarme,155 m2,170 m2,3+1,0 (Yeni),7. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,167 m2,2+2,4,4. Kat,20,Merkezi Doğalgaz,600 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"5,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,13. Kat,20,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"3,500TL",21 Şubat 2021,Konut,Kiralık,Çelik,55 m2,66 m2,1+1,0 (Yeni),6. Kat,12,Merkezi (Pay Ölçer),480 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"18,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,210 m2,250 m2,4+1,5-10,19. Kat,40,Merkezi (Pay Ölçer),1.100 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"3,600TL",21 Şubat 2021,Konut,Kiralık,Betonarme,55 m2,65 m2,Stüdyo,5-10,11. Kat,20,Merkezi (Pay Ölçer),400 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"8,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,165 m2,186 m2,3+1,5-10,12. Kat,20,Merkezi (Pay Ölçer),1.000 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"18,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,210 m2,250 m2,4+1,5-10,12. Kat,30,Merkezi (Pay Ölçer),1.100 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"5,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,5-10,9. Kat,20,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"7,250TL",21 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,111 m2,1+1,5-10,14. Kat,15,Merkezi Doğalgaz,2.500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli Kiralık Residenc
"3,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,65 m2,75 m2,Stüdyo,5-10,7. Kat,20,Merkezi (Pay Ölçer),500 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"4,800TL",21 Şubat 2021,Konut,Kiralık,Çelik,70 m2,80 m2,1+1,5-10,5. Kat,30,Merkezi (Pay Ölçer),550 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"1,900TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,125 m2,135 m2,3+1,11-20,2. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kartal
"1,600TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,105 m2,110 m2,2+1,11-20,6. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli
"1,400TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,87 m2,2+1,2,3. Kat,6,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sultanbeyli
"4,800TL",21 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,1+1,2,10. Kat,30,Merkezi Doğalgaz,400 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer Kiralık Residenc
"1,400TL",21 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,85 m2,2+1,0 (Yeni),Düz Giriş,4,Kombi Doğalgaz,30 TL,1.400 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Ataşehir
"2,750TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,78 m2,2+1,1,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,000TL",22 Şubat 2021,Konut,Kiralık,Belirtilmemiş,60 m2,71 m2,2+1,2,5. Kat,6,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Sultanbeyli
"1,670TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,64 m2,1+1,5-10,2. Kat,10,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Esenyurt
"8,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,140 m2,170 m2,3+1,5-10,16. Kat,32,Kombi Doğalgaz,750 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"2,250TL",21 Şubat 2021,Konut,Kiralık,Betonarme,45 m2,55 m2,Stüdyo,0 (Yeni),3. Kat,7,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Kağıthane Kiralık Residenc
"7,500TL",21 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,160 m2,2+1,5-10,3. Kat,32,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
"10,000TL",21 Şubat 2021,Konut,Kiralık,Çelik,130 m2,170 m2,3+1,5-10,7. Kat,33,Merkezi (Pay Ölçer),1.150 TL,Belirtilmemiş,2,Belirtilmemiş,Hayır,Belirtilmemiş,Sarıyer
