price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"1,050TL",25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,11-20,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
"1,500TL",25 Şubat 2021,Konut,Kiralık,Betonarme,135 m2,160 m2,3+1,20 Ve Üzeri,7. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Kartal
"1,350TL",25 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,140 m2,3+1,20 Ve Üzeri,1. Kat,6,Kombi Doğalgaz,Belirtilmemiş,1.350 TL,1,1,Hayır,Boş,Kartal
"4,500TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,147 m2,3+1,5-10,7. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Başakşehir
"2,500TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,95 m2,2+1,11-20,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"1,100TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,1+1,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"2,500TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kağıthane
"1,450TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,135 m2,145 m2,3+1,0 (Yeni),4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"1,350TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,95 m2,2+1,0 (Yeni),2. Kat,9,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"1,150TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,95 m2,2+1,0 (Yeni),Yüksek Giriş,6,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"1,300TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,135 m2,155 m2,3+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
700TL,24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,90 m2,2+1,11-20,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
800TL,24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,100 m2,1+1,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"1,200TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,135 m2,2+1,11-20,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"2,000TL",24 Şubat 2021,Konut,Kiralık,Betonarme,64 m2,74 m2,2+1,5-10,10. Kat,11,Kombi Doğalgaz,171 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Küçükçekmece
"3,500TL",24 Şubat 2021,Konut,Kiralık,Betonarme,116 m2,132 m2,3+1,5-10,12. Kat,12,Kombi Doğalgaz,240 TL,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Küçükçekmece
"2,550TL",24 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,90 m2,2+1,4,1. Kat,5,Merkezi Doğalgaz,250 TL,5.000 TL,1,1,Evet,Eşyalı,Beylikdüzü
"1,750TL",24 Şubat 2021,Konut,Kiralık,Betonarme,120 m2,140 m2,2+1,11-20,Yüksek Giriş,3,Kombi Doğalgaz,Belirtilmemiş,1.750 TL,1,1,Hayır,Boş,Kartal
"1,400TL",24 Şubat 2021,Konut,Kiralık,Betonarme,87 m2,107 m2,3+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,1.400 TL,1,1,Hayır,Boş,Kartal
780TL,25 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,11-20,2. Kat,3,Sobalı,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Pendik
780TL,25 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,11-20,2. Kat,3,Sobalı,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Pendik
"2,000TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,11-20,2. Kat,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kağıthane
"1,300TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,1+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
"1,200TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,60 m2,1+1,3,Bahçe Katı,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Arnavutköy
